,Second,MSE,First
7,800.0,0.422524876356,400
8,900.0,0.75722255191,400
9,1000.0,0.662356572981,400
10,1100.0,0.806911875368,400
12,1200.0,0.714955304749,400
11,1300.0,0.823742509668,400
13,1400.0,0.694726298146,400
14,1500.0,0.552478029713,400
15,1600.0,0.714432012895,400
18,1700.0,0.438949120008,400
17,1800.0,0.508571995752,400
16,1900.0,0.828530942543,400
19,2000.0,0.534336012305,400
20,2100.0,0.823025003088,400
23,2200.0,0.799277871909,400
22,2300.0,0.641889336125,400
21,2400.0,0.716627755488,400
24,2500.0,0.955353304837,400
25,2600.0,0.774012887632,400
26,2700.0,0.691962066035,400
27,2800.0,0.567630792533,400
28,2900.0,0.808390394372,400
29,3000.0,0.653216084429,400
0,100.0,0.548214179715,500
1,200.0,0.656477747239,500
2,300.0,0.431967606862,500
3,400.0,0.670789453306,500
4,500.0,0.62000175329,500
5,600.0,0.357921030942,500
6,700.0,0.717891457094,500
7,800.0,0.563413853791,500
8,900.0,1.07717113753,500
10,1000.0,0.463411809362,500
9,1100.0,0.667240288807,500
11,1200.0,0.596351333772,500
13,1300.0,0.641109329527,500
12,1400.0,0.892222936313,500
16,1500.0,0.615456925396,500
17,1600.0,0.784389934869,500
14,1700.0,0.76014917381,500
15,1800.0,0.480366786482,500
20,1900.0,0.479596068355,500
21,2000.0,0.840588625486,500
22,2100.0,0.839197818353,500
18,2200.0,1.26990576702,500
19,2300.0,0.797810539216,500
24,2400.0,0.74653193538,500
26,2500.0,0.874744699322,500
28,2600.0,0.861297743271,500
23,2700.0,0.645263626417,500
27,2800.0,0.53024346958,500
29,2900.0,0.814595988972,500
25,3000.0,0.853355855103,500
0,100.0,0.935535547897,600
1,200.0,0.818327631333,600
2,300.0,1.09928592384,600
3,400.0,0.525194860688,600
4,500.0,0.51924680835,600
5,600.0,0.749098516412,600
6,700.0,0.70625081346,600
8,800.0,0.856197538989,600
7,900.0,0.633567757408,600
9,1000.0,0.606478924837,600
11,1100.0,0.911995568,600
12,1200.0,0.703380021252,600
10,1300.0,0.624787519707,600
15,1400.0,0.799365623745,600
14,1500.0,0.576647526311,600
13,1600.0,0.65796261488,600
17,1700.0,0.732749561449,600
18,1800.0,0.826755183565,600
16,1900.0,1.02828817202,600
19,2000.0,0.653255264944,600
21,2100.0,0.373737671879,600
23,2200.0,0.633407933993,600
20,2300.0,0.9182578768,600
25,2400.0,0.426856656919,600
24,2500.0,0.919397010754,600
22,2600.0,0.858372616654,600
28,2700.0,0.952546495517,600
26,2800.0,0.60883098106,600
27,2900.0,0.796960753081,600
29,3000.0,0.574907024865,600
0,100.0,0.67595068355,700
1,200.0,0.658702392304,700
2,300.0,0.94217818087,700
3,400.0,1.02234038996,700
4,500.0,0.698294562231,700
5,600.0,0.634492853899,700
6,700.0,0.654393591765,700
7,800.0,0.579107178453,700
8,900.0,1.01726289891,700
9,1000.0,0.706553103042,700
10,1100.0,0.518772265842,700
11,1200.0,0.770450534792,700
13,1300.0,0.886663969937,700
12,1400.0,0.625141860138,700
15,1500.0,0.956882145487,700
16,1600.0,0.641935894461,700
18,1700.0,0.619203872847,700
14,1800.0,0.744917751767,700
19,1900.0,0.835100733618,700
17,2000.0,0.499660609762,700
22,2100.0,0.515037421022,700
23,2200.0,0.470267683268,700
24,2300.0,0.565565279268,700
